id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Kategory
210,"Good afternoon! Opposite houses No. 31 and No. 30 on the street. Romashkova of the city of Kursk, when laying asphalt, its surface (deep depression) was not planned, which after any rain is filled with water. The local authorities have not been able to resolve this issue since 2017!!!! In the meantime, everyone thinks and decides the inhabitants of the street. Romashkova, living in the city, go to work, school, shop, etc. in rubber boots. I ask you to intervene and provide assistance in solving the problem of the people of this street, since at the moment this problem is especially acute during the period of heavy torrential rains and snowmelt. Thank you in advance)))","<p>Добрый день!<br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>Напротив домов №31 и №30 по ул. Ромашковой г.Курска при укладке асфальта не была спланирована его поверхность (глубокая впадина), которая после любого дождя заполняется водой. Данный вопрос местные власти не могут решить с 2017 года!!!! А пока все думают и решают жители ул. Ромашковой, проживая в городе, ходят на работу, в школу, магазин и пр. в резиновых сапогах. Прошу Вас вмешаться и оказать помощь в решении проблемы людей этой улицы, так как на данный момент эта проблема стоит особенно остро в период обильных проливных дождей и таяния снега. Заранее благодарна)))</span></p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Another
889,QR code not received,<p>Не пришёл qr-код</p>,Сертификат вакцинированного,Комитет здравоохранения Курской области,4,Another
2162,I propose to check the quality of this bread and compliance with the production technology as a whole at the plant. Mouse poop found in bread,Предлагаю провести проверку качества данного хлеба и соблюдения технологии производства в целом на заводе. В хлебе обнаружена мышиная какашка,"Неудовлетворительное качество товара, оказания услуги",Комитет агропромышленного комплекса Курской области,13,Another
1367,"Why, when they cleared Suvorovskaya Street of snow, they didn’t clean the pocket for the minibus? It was covered with snow when the harvester was driving and left it like that !!! The minibus now stops not at a bus stop but on the road! This interferes with both cars and is dangerous for passengers !!! The minibus is now parked 4 meters from the put pocket !!! In the photo, I indicated where the stop was and the video How far from the Karman stop is the minibus! Worth a spacious road! And passengers have to get over a pile of snow left by a snowplow!","<p>Почему когда чистили улицу Суворовскую от снега, то карман для маршрутки не почистили? Его завалили снегом когда ехала уборочная машина и так и оставили!!! Маршрутка теперь останавливается не на остановке а на дороге! Это мешает и машинам и опасно для пассажиров!!! Маршрутка теперь в метрах 4 от положенного кармана паркуется!!! На фото я указала где остановка и видео Как далеко от Кармана остановки стоит маршрутка! Стоит просторна дороге! И пассажирам приходится перебираться через груду снега, которая оставила снегоуборочная машина!&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1610,"When will the Sergeyevsky FAP be updated? The building has cracks in the walls, leaking roof, furnace heating. Under what conditions are patients admitted? I hope that in 2022 the Sergeevskoye feldsher-obstetric station in the Lgovsky district will be replaced with a new, comfortable and modern one. The answer to the complaint is to send an explanatory note with the application of the facts about the FAP.","<p>Когда Сергеевкий ФАП обновят? В здании трещины в стенах, протекает крыша, печное отопление. В каких условиях принимают пациентов? Надеюсь что в 2022 году Сергеевского фельдшерско-акушерский пункт во Льговском районе заменят на новый, комфортный и современный.&nbsp;</p><p>Ответ на жалобу прислать разъяснительную с применениями фактов о ФАПе.&nbsp;</p>",Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4,Another
2934,"On the side of the house, Karl Marx Street 66/8, there is a dump of household and construction waste.",Сбоку дома улКарла Маркса 66/8 свалка бытового и строительного мусора.,Несанкционированные свалки твёрдых бытовых отходов,Комитет городского хозяйства города Курска,16,Another
20,"I ask you to install a road sign “stop” and a stop pavilion. What kind of disgrace is going on with you, there is a stop but there is no sign or pavilion. I also ask you to answer not with a reply, but with the result.","<p>Прошу Вас установить дорожный знак “остановка” и остановочный павильон. Что у Вас за безобразие творится, остановка есть а нету ни знака ни павильона. Прошу Вас также ответить не отпиской а результатом.</p>",Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Льгов,8,Another
2576,broken traffic light,Разбит светофор,Светофоры на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1487,"Hello. My mom lives on st. 2nd Novoselovka, earlier buses number 6 “ts.rynok-zhd vokzal” and minibuses traveled along Streletskaya on the same route, and it was possible to leave both early in the morning and late in the evening, and it was not necessary to wait for transport for a long time. Now only 2 PAZ buses run, the waiting time for transport sometimes reaches 40-50 minutes. Please help improve the transport accessibility of the area.","<p>Здравствуйте. Моя мама живет на ул. 2-я Новоселовка, раньше по Стрелецкой ездили автобусы номер 6 «ц.рынок-жд вокзал» и маршрутки по тому же маршруту, и можно было уехать и рано утром, и поздно вечером, и ждать транспорт долго не приходилось. Сейчас ездит только 2 автобуса ПАЗ, время ожидания транспорта иногда доходит до 40-50 минут. &nbsp;Помогите, пожалуйста, улучшить транспортную доступность района.</p>",Недостаточное количество транспорта на маршруте при осуществлении муниципальных (пригородных) перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Another
1756,"Hello. On the section of the road near the building number 2d on the street. 2nd Novoselovka, Kursk, traffic lights were installed, which are currently not functioning and there is no zebra road marking, but a road sign “Pedestrian crossing” has been installed. However, motorists ignore the “Pedestrian crossing” road sign, drive at high speed and do not slow down in front of the indicated sign, creating a dangerous situation for the pedestrian. In this regard, I ask you to take the necessary measures to ensure the safe crossing of the road by a pedestrian on a section of the road near building No. 2d on the street. 2nd Novoselovka, Kursk.","<p>Здравствуйте. &nbsp;На участке дороги в районе здания № 2д по ул. 2-я Новоселовка, г. Курска установлены светофоры, которые в настоящее время не функционируют и отсутствует дорожная разметка “зебра”, но установлен дорожный знак “Пешеходный переход”. Однако автомобилисты игнорируют дорожный знак “Пешеходный переход”, осуществляют движение на большой скорости и не снижают скорость перед указанным знаком, создавая опасную ситуацию для пешехода. В связи с этим, прошу Вас принять необходимые меры для обеспечения безопасного пересечения дороги пешеходом на участке дороги в районе здания № 2д по ул. 2-я Новоселовка, г. Курска.</p>",Дорожные знаки на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1518,"Why tram car 71-619K No. 5343 does not go on the line. So you applied for tram cars of this brand, and what happened to them, you just killed them even more. When the cars of this series will be repainted.","<p>Почему не выходит на линию трамвайный вагон 71-619К №5343. Вот вы подали заявку на получении трамвайных вагонов данной марки, и что с ними произошло, вы их просто убили еще сильее.&nbsp;</p><p>Когда начнутся перекрашиваться вагоны данной серии.&nbsp;</p>",Недостаточное количество транспорта на маршруте при осуществлении внутриобластных междугородных перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Another
662,"I ask you to clean the road surface on the street. Vokzalnaya (road to mamlobaza). I would also like you to fill deep pits with asphalt chips or gravel. Hope you hear us. We do not ask you for a new road surface, we ask for ordinary asphalt chips or crushed stone.","<p>Прошу Вас провести очистку дорожного покрытия по ул. Вокзальная (дорога на мамлобазу). Также хотелось что бы вы засыпали асфальтной крошкой или щебнем глубокие ямы. Надеюсь вы нас услышите. Мы не просим от вас новое дорожное покрытие, мы просим обычную асфальтную крошку или щебень.&nbsp;</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Льгов,0,Another
2330,"It is necessary to create a safe and convenient pedestrian crossing from Blinova Street to Yamskaya Street for citizens with children, including in prams and with scooters, bicycles. There is no convenient exit (sills, tram tracks, old asphalt with holes), passage through the tram tracks. The path is very narrow, the stroller fits neatly with the rails. Also, the stop is too far from the pedestrian crossing, you have to make a big detour. There is no stop on the opposite side, and the population is already large at the moment. There is a long distance between the Perekalsky and Kirovsky bridge stops due to the uphill climb. I ask you to create conditions for comfortable living and moving.","Необходимо создать безопасный и удобный пешеходный переход от улицы Блинова к улице Ямской для граждан с детьми, в том числе на детских колясках и с самокатами, велосипедами.  Нет удобного съезда (порожки, трамвайные пути, старый асфальт с дырами), проезда через пути трамвая. Дорожка очень узкая, коляска аккурат вмещается с рельсами.
Также слишком далеко от пешеходного перехода расположена остановка, приходится делать большой крюк. На противоположной стороне остановки нет, а заселенность на данный момент уже большая. Между остановками Перекальского и Кировский мост большое расстояние в связи с подъемом в горку. 
Прошу создать условия для комфортного проживания и перемещения.",Пешеходные переходы на дорогах в микрорайонах ИЖС,Администрация города Курска,0,Another
190,"The section of the highway leading from the Shchigrovskaya highway to the village of Muravlevo-Mikhailovo-Nozdrachevo is not serviced at all. During the month of February, when there was terrible ice, the road was sprinkled 1 time, on February 26, 2021. just before the thaw. I wrote to the group in contact with the head of the Kursk region A. Telegin, he told me that “According to your request, I inform you that the road you indicated does not belong to the Kursk region, it belongs to the committee of transport and highways of the Kursk region.” I talked with a representative of the committee of transport and highways, asked them not to forget about our section of the road, but no action was taken. Today is 03/01/2021. in the morning there is heavy ice on the roads, I “fly into the ditch” in a car with a 3-year-old child, after I call the committee again, I talk with Prokopov Anton Vladimirovich, who is responsible for the road of this particular section (Muravlevo-Mikhailovo-Nozdrachevo), he assures me that everything will be done, he refers to the irresponsible attitude of the Avtodor company. After that, I called the Avtodor company, talked with Alexander Grigoryevich, who was talking to someone else at the same time, showed disrespect, said: “Yes, yes, I’m listening. Complain.” Not knowing which section of the road to sprinkle, he said: ""The car has already left."" How to talk to such irresponsible people??? Who do I reach out to??? showed disrespect, said: “Yes, yes, I’m listening. Complain.” Not knowing which section of the road to sprinkle, he said: ""The car has already left."" How to talk to such irresponsible people??? Who do I reach out to??? showed disrespect, said: “Yes, yes, I’m listening. Complain.” Not knowing which section of the road to sprinkle, he said: ""The car has already left."" How to talk to such irresponsible people??? Who do I reach out to???","<p>Участок автомобильной дороги ведущей с Щигровской трассы на деревню &nbsp;Муравлево-Михайлово-Ноздрачево совсем никак не обслуживают. За февраль месяц, когда был жуткий гололед, дорога была посыпана <strong>1 раз</strong>, 26 февраля 2021г. , как раз перед оттепелью. Я писала в группу в контакте &nbsp;главе Курского района А. Телегину, он мне сообщил, что “По Вашему обращению сообщаю, что указанная Вами дорога не относится к Курскому району, она принадлежит комитету транспорта и автомобильных дорог Курской области.” Разговаривала с представителем комитетом транспорта и автомобильных дорог , просила их не забывать про наш участок дороги, но никаких действий не последовало. Сегодня 01.03.2021г. &nbsp;утром на дороги сильный гололед, я на машине с &nbsp;3-х летним ребенком “улетаю в кювет”, после звоню опять в комитет разговариваю с Прокоповым Антоном Владимировичем, который ответственный за дорогу именно этого участка (Муравлево-Михайлово-Ноздрачево), он меня уверяет , что все будет сделано, ссылается на безответственное отношение компании “Автодор”. После чего я позвонила в компанию “Автодор”, разговаривала с Александром Григорьевичем, который параллельно разговаривал еще с кем-то, проявлял не уважение, говорил: “Да, да, слушаю. Жалуйтесь.” Не узнав какой участок дороги нужно посыпать, он сказал: “Машина уже выехала”. Как разговаривать с такими безответственными людьми??? До кого мне достучаться???&nbsp;</p>",Очистка от снега и наледи дорог регионального и межмуниципального значения,Комитет транспорта и автомобильных дорог Курской области,0,Another
