Message text,Категория,Kategory
"Good afternoon. I live on General Grigorov Street. There are 8 apartment buildings in our neighborhood. A pedestrian path with a ramp is equipped to the stop near the metro. Last year, residents of apartment buildings along Rosinka Street installed a fence, blocking off the passage to the bus stop, while leaving the gate open. However, the other day, an announcement appeared on this gate that from January 25 they will close this gate, thereby limiting the passage to the stop of a huge number of people, including mothers with strollers, who will have to get to the stop along the roadway. Please check the legality of the installation of the fence by the residents of the Moscow Ring Road on Rosinka Street, whether there is an unauthorized seizure of the territory, whether the fence is really installed along the cadastral border of the site.",11,Another
"Good afternoon! Due to the huge number of large stray dogs it is impossible to go outside, about 15 dogs lie near the front door to the entrance, constant dog fights on the playground, which is why the child does not go outside",1,Another
"I ask you to hold an online game after the new year and Christmas. It would be great if students of educational institutions would participate in this game. And as gifts, one could make folded gifts with the logo of the United Russia party and a certificate",5,Another
"Unfinished near the house 14b on the street. L. Tolstoy. In the spring, the fence was removed and the trees were cut down. But construction debris is now falling onto the sidewalk. The wasteland gradually overgrows and turns into a dump - every now and then someone throws garbage there. Walking on the sidewalk is not safe. The photos are from May, and now everything is overgrown with bushes.",11,Another
"I ask for help in protecting the rights of residents of houses on 2 and 4 Gagarin Street in the city of Kursk. The fact is that in the former shopping complex ""Kurskie Zori"", located between the indicated houses, the ""Magnit"" store was opened, and a metal unloading platform was built in the courtyard of these houses. The unloading of goods after the opening of the Magnit store interferes with residents whose windows overlook the courtyard. Arrangement of an unloading platform in the yard of our houses violates the legislation of the Russian Federation. The main document that regulates the activities of retail outlets in a residential area are sanitary standards and rules “SP 2.3.6.1066-01. 2.3.5. Trade enterprises. Sanitary and epidemiological requirements for trade organizations and the turnover of food raw materials and food products in them. Sanitary and Epidemiological Rules”, * Paragraph 2.2 of these norms states, that the activities of trade facilities cannot violate or worsen the living or recreational conditions of the residents of the house; * Clause 2.4. determines the procedure for loading products into the store: loading should be carried out exclusively from the end of a residential building that does not have windows. Paragraph 3.7 of SanPiN 2.1.2.2645-10 clarifies that it is not allowed to load products or other materials into public premises from the side of the house, where there are entrances to apartments and windows of residential premises. Everyone is obliged to comply with the norms of SanPiN: paragraph 3 of Art. 39 of the Federal Law of March 30, 1999 No. 52-FZ “On the sanitary and epidemiological well-being of the population”, which states that compliance with the sanitary rules approved in the prescribed manner is mandatory for both citizens and organizations.",13,Another
Good afternoon! My name is Oksana and I am a mother of three boys with many children. The two older boys are 2 and 3. The younger one is 1.2. I beg you to help arrange the strshih boys in the garden without a queue. I am an orphan and a college student.,7,Another
"Hello, why are the 1st grades not allowed to study as usual, what can a child in the 1st grade learn remotely!!! And if the parents work with whom should the child be at home???!!! No need to write orders and laws, just take note!!!",7,Another
"On May 28, 2021, on the State Services portal, I submitted an application for a monthly payment from 3 to 7 years (inclusive) in a new amount and recalculation of the amount of payment from 3 to 7 years, previously assigned to the child of Uspensky Ivan Denisovich. In the application, I provided all the information in full and reliably, provided for in the established form. I received a response to my application, which indicated that: a positive decision was made on the application, the payment was assigned in the amount of 50% of the child's subsistence minimum From 05/28/2021 to 05/27/2021. At the same time, I am not allowed to recalculate the payment from January 1, 2021, since the previously received benefit amount is also equal to 50% of the subsistence minimum. Further, on 10/20/2021, using the State Services portal, I submitted a new application for a monthly payment from 3 to 7 years in a new amount and recalculation of the amount of payment from 3 to 7 years, The Decree of the President establishes the right of citizens to apply for a new amount of benefits at any time after April 1, 2021, and DOES NOT STATE that it can be submitted only once. aged 3 to 7 years inclusive, approved by Decree of the Government of the Russian Federation of March 31, 2020 No 384 (as amended by Decree of the Government of the Russian Federation of March 31, 2021 No 489), in 2021 to citizens who are assigned a monthly payment, the amount of the monthly cash payment is recalculated. In this case, the monthly cash payment is established in the amount provided for in paragraph three or four of paragraph 2 of these basic requirements, in the following order: Citizens apply for recalculation of the monthly payment starting from April 1, 2021, but no later than December 31, 2021, by submitting an application, the form of which is provided for in clause 10 of these basic requirements; the recalculation of the amount of the monthly payment is made from January 1, 2021, but not earlier than from the day the child reaches the age of 3 years. At the same time, the monthly payment in the appropriate amount is established for 12 months from the date of application for such payment, but no more than until the day the child reaches the age of 8 years. setting a new amount of payment, at any time until December 31, 2021. The above regulations do not establish a prohibition to apply for a new amount of payment, as well as paragraph 2 * 1 of the Basic Requirements REQUEST: 1. Reconsider the decision on my application for the appointment of a monthly payment from 3 to 7 in accordance with the legislation of the Russian Federation2. Recalculate the payment from 3 to 7 years, assigned to the child Uspensky Ivan Denisovich in the manner prescribed by law. 3. Notify me of the decision made within the time period established by law. In case of refusal to recalculate, I will be forced to apply to the Prosecutor's Office ...., and later to the court to protect my rights and legitimate interests.",10,Another
"Good afternoon, today we visited the Boeva ​​Dacha park, adults with children ride there from a hill on a frozen river (descent opposite the food court, where the beach is in summer). One child fell through the ice (the place is indicated by the red arrow in the photo). I ask you to do everything to protect people from such a terrible situation in the future (put fences or signs or another option).",3,Another
"On August 03, 2021, stray dogs with aggressive behavior were identified near the intersection of Studencheskaya, Zopolnaya and 50 Let Oktyabrya streets. I ask you to make a withdrawal.",1,Another
"I ask you to take measures to clean up the unauthorized dump, which has recently been formed at the beginning of the village of Kashara, Konyshevsky District. The local administration is inactive. Thanks in advance.",3,Another
"Hello! The problem concerns the passage between school 56 and kindergarten 110 on Magistralny. There are huge potholes here, the road needs repair, even patching. Also, there is no sidewalk, you have to take the children to the kindergarten or school along the roadway.",3,Another
"Hello, in connection with which the payment for May for a child under 7 years old did not come.",10,Another
"Dear Roman Vladimirovich! Saraevka, Zuevsky village council, Solntsevsky district of the Kursk region. We kindly ask you to instruct your subordinates, namely the head of the Solntsevsky district and the chairman of the Zuevsky village council, to make a fence around the cemetery where our fellow countrymen are buried in our village. There is nowhere such a shame, such a hedge as near the cemetery in our village (photo attached). I would very much like the fence to be like in other villages in our region and that the chairman of the village council would sometimes appear to us, who, since his appointment, has never been and has not been interested in the problems of the village. Thanks for understanding! Grateful residents of the village of Saraevka",3,Another
Good afternoon! Near the basement (near the 3rd entrance) of house 1 (on 3rd Peskovskaya street) lies a dead cat (it may have been poisoned or hit by a car). Please relevant service clean up.,1,Another
"Lack of full support for amateur hockey. We are now in Sochi representing the Kursk region in the night hockey league and there is no support from the region. The players came in what was a shame just to watch how the games of the team from all over Russia are dressed and how they are presented, but we forgive us like homeless people￼",15,Another
"Broken fence around an abandoned construction site. Unsanitary conditions, rubbish, rotten boards. I have already applied on this issue, but no action has been taken against the owner. There is a banner with a phone for sale on the building - use it to find the owner! Near a children's clinic and a school, a beans store, a square",11,Another
"I am a mother on maternity leave. My child turned 06.01. I submitted documents for confirmation on 01.01 at 21.45. Due to the incompetence of the social security officer (from the beginning she was engaged in one, then, as it turned out, she quit, then another), who made a mistake in my documents (on January 28, I received a decision according to the old data). I called the employee, she redid and added me to the black list and filed them, respectively, at the wrong time. 03.02 they just got to the department for accrual. I called the welfare department, to which they told me the documents were received only 0302, wait until 2602. I was left for two months without Putin's payments. I was told that these are not our problems, we have nothing to do with it. The question is, who and what about me? Thank you Social Security for helping moms!",10,Another
"The road near the house, Entuziastov Ave. 10, is a broken road, large pits cannot be normally driven by car.",3,Another
"Hello, I can’t put my child on the waiting list for kindergarten through public services. It is indicated that this service is not available in our region, although two weeks before my last attempt on June 26, it was possible to apply! When will this issue be resolved, and people will be able to put the child on the waiting list?",2,Another
I ask you to send a letter to the management of the sugar plant so that they replace the flag of the Russian Federation.,5,Another
"Hello! Today I ran into a large stray dog ​​without a chip on his ear near the Pyatrochka store at Deriglazova 15. The dog came close to the exit of the store and frankly frightened the customers who were leaving the store. I really don’t want to go for groceries, but to end up at the emergency hospital with a rabiologist with a bite from a stray animal. No one picked up the telephones indicated (55-47-60 and 74-02-46). Please deal with a huge number of animals without supervision in different areas of the city of Kursk. Photo for example",1,Another
A huge amount of cow parsnip,3,Another
"Hello. It was necessary to write this letter. We write anonymously, because We worry about the fate of the children. There is simply no strength to endure and worry about our children who study at the MBOU school No. 2 in Kursk, in the 4th “b” grade. Class teacher Bezhan Tatyana Konstantinovna. To call her a teacher, and even more so a teacher-psychologist, does not turn the tongue. We do not know how such an “employee” was allowed to enter primary school. At the end of the 4th grade, children will leave with a crippled psyche. And these are not empty words. Children constantly have to be persuaded to go to school, spend hours on it and calm them down. The associations of children with the school are the constant cries of the teacher. How is that possible? Bezhan T.K. regularly insults children, calls them “fools”, “morons”, “children of drunks” (all verbatim) and the list goes on. All parents will attest to this. He constantly yells at children, saying that they are not capable of anything and that they belong in a school for the mentally retarded. And we all know what kind of school it is. Does the primary school teacher really not understand that the child's psyche suffers? The question, of course, is rhetorical… Bezhan T.K. regularly disrupts classes, although the children have congenital malformations, for which there is absolutely no preparation! Several times a week, she cancels math, Russian, and other important classes. Instead, she conducts “explanatory”, as she believes, conversations with the children. With screams. Speaking with girls - about ""prostitutes"", and with boys - about ""convicts"". This is literally one of the examples. Discuss prostitution in 4th grade! What's going on in this teacher's head? Which believes that it is more important to discuss prostitution and the criminal world than to prepare children for CD. Once again, we want to focus on this - there is absolutely no preparation of children for CM. During the distance learning period, the classes were held as follows - in the morning the teacher sent a photo of a leaflet with what needed to be done, and in the evening the parents sent photos of the children's work. That's all. Is this what we were striving for? Is this our worthy education? Yesterday Bezhan T.K. went even further. She made the children stand 2 lessons. Remember, this is 4th grade. The children stood for two lessons and listened to educational conversations and cries ... instead of knowledge. And far from all the facts are described in this open letter. We ask you to deal with this situation, take this teacher under control, and better the whole school, because continue learning in it there is no desire. These words can be confirmed anonymously by all parents. Anonymous, because many are worried about the possible “bullying” of children.",7,Another
"Good afternoon, we have closed access (road) to the house. We live on st. Khutorskaya 12g, before we had the opportunity to drive along Khutorskaya, after the renovation of the hostel, the Medical University installed a gate. On what basis was the road closed to us with an exit to Khutorskaya Street?",3,Another
In the courtyard of the house at Energetikov 11 there lives a pack of dogs in the amount of three pieces. All night they bark and howl. During the day they sleep off on the playground. I ask you to carry out work on the export of dogs.,1,Another
"I Sholnkova Asel Zhamoldinovna took out a mortgage in 2019, in 2021 I returned 3 personal income tax 13% for the mortgage, and also filed with my husband for a refund of the amount for the mortgage, which we pay until 2036 in his last name. The money never reached the Sberbank card, since the bailiff Anna Mikhailovna stole it, deducting 50% from the Russian agricultural salary card according to IP 22694/21/45014, not taking into account that I have a child of 7 years and a mortgage. As well as stealing money for a mortgage return in the amount of 58963 from the Sber card. In this connection, in September I received 40,000 rubles in my hands, and the bailiff took 98963, which is far from 50%. Please look into this situation.",10,Another
"Hello! The question of the appointment of benefits - a monthly payment to women who registered early. Date of application to the pension fund 07/27/2021 at 8:00 am, application registration number 001354. 10 days for consideration of the application. Calls are not answered, email notifications are not received. No contact with applicant.",10,Another
"I ask you to add my daughter Kondrashova Emilia Dmitrievna (11.01.2012) to the list or register of those who need to be provided with a ticket to a summer country camp for the 1st shift at the Olympian DOL. According to the Law, an application at school 33 can only be submitted on March 23, but I heard from other mothers that they have already submitted it at their schools. We have the status of the poor and large families.",10,Another
"Good afternoon, a very old problem in this place is the road, if not killed, then it is absent. I would like to know when this area will be put in order? And the second question: which streets in Kshensky will be reconstructed and built in 2022 as part of all projects ????? Thank you.",11,Another
"A sofa is lying on the lawn. !!! About half a year ago, someone dragged (did not drag) a broken sofa, and the public utilities desperately do not notice it. It must be disposed of as bulky waste.",3,Another
"There is no road for pedestrians, a piece of dirt, repairs have been made, the road is broken and nothing changes",3,Another
When will you install the road sign “Public transport stop” at the Ostrovsky stop? People don't even know that there is a public transport stop in this place.,0,Another
"Hello, we all write and talk about only one thing: roads, hospitals, bad government, and so on. I have been following the communities of Kursk for a couple of years, but I have never seen anyone write and complain about mobile operators. In the cities of the Kursk region, there is practically no issue in servicing cellular communications, but the quality of service could still be improved in the 21st century. The problem appears at the exits from the city, namely on the highways of the region. Many friends are faced with such a problem: it is possible to get through only to number 112 and that's it. WHY IS THIS HAPPENING? We will not talk about any specific sections of roads, there is such a problem everywhere. Take, for example, roads such as: Kursk - Zheleznogorsk, Kursk - Oboyan, Kursk - Shchigry, Kursk - Lgov - Rylsk, Kursk - Sudzha, leaving Kursk in any direction, we are facing the communication problem of any operator `NO NETWORK`. Verified by personal experience. When we go, for example, in the direction of Moscow - St. Petersburg, the network is everywhere and always. The Kursk region is still making roads, repairing hospitals, etc. While someone is now standing on the road with a broken tire and cannot get through, or even worse, someone has become ill at the wheel and also cannot get through to their relatives and loved ones. So, give your opinion in the comments. I would very much like to receive a comment from the leaders of the Administration of the Kursk region who are in charge of this issue. Thank you for your attention. I think that many will support. While someone is now standing on the road with a broken tire and cannot get through, or even worse, someone has become ill at the wheel and also cannot get through to their relatives and friends. So, give your opinion in the comments. I would very much like to receive a comment from the leaders of the Administration of the Kursk region who are in charge of this issue. Thank you for your attention. I think that many will support. While someone is now standing on the road with a broken tire and cannot get through, or even worse, someone has become ill at the wheel and also cannot get through to their relatives and friends. So, give your opinion in the comments. I would very much like to receive a comment from the leaders of the Administration of the Kursk region who are in charge of this issue. Thank you for your attention. I think that many will support.",9,Another
"Good afternoon. Yesterday, August 21, 2021, my child was bitten by a dog, he was walking in the yard. But there are always three big dogs near the playground, they are yard dogs. It’s impossible to get through to the dog catching service. A huge request to convey our problem. Zavodskaya st., 45a, playground, there are bushes near it, and these dogs lie there",1,Another
"A pack of stray dogs in the amount of 5-7 animals constantly lives in the yard, next to the playground, during the day they behave quite aggressively, bark at people, throw themselves at exiting cars, on Saturday two dogs attacked an elderly woman and one of them she was bitten, as a result, the woman had to spend 3 hours in the emergency room on Pirogova. It becomes scary for walking young mothers with children. After all, children of residents of 3 apartment buildings are walking on this playground. I ask you to take measures to free the yard from homeless animals.",1,Another
"My husband, being on daily paid leave, took sick leave to care for a child under 7 years old (the child was sick), which he was given. Now the organization refuses to pay this sick leave.",10,Another
"From 02/25/2021 at Gagarin 25-16, there is no access to the Internet. MTS Company is not taking measures to fix the problem at this time.",9,Another
"I have a child Zvyagintsev Dmitry Evgenievich, born on 07/04/2018, for whom I receive child benefits on the map of the world. The bailiff wrote off the money intended for the child to pay off my debt.",10,Another
"trading and begging in the overpass between the GRINN shopping center and the Olympiysky shopping center, especially on weekends, for the second year already, the DH Administration has not done anything to eliminate this disgrace 100 from the DH Administration",13,Another
Good afternoon. Please provide the number and date of the normative act that establishes a limit on the hours that a child can have in additional education. Reported 144 hours that a child can visit for free with the application on the navigator46,7,Another
Can't get certificate,12,Another
"Hello! We have a wonderful railroad park in Kursk, but apart from monuments there is nothing there, I would like to see sports simulators and a playground in this park. On one side of the park there are exercise equipment and on the other side of the park there is a playground.",15,Another
"The village is in the red zone. There are a lot of sick people at school, children whose relatives are sick with coronavirus continue to attend classes. Patients with lung damage are refused to be hospitalized. And more and more patients every day.",6,Another
"Vladimir Vladimirovich Putin spoke more than once about the revival of villages. In the Zheleznogorsk district of the Kursk region, a merger of village councils took place. On the territory of the united Linetsky village council there are many villages, villages, farms, which are widely scattered within a radius of 7-15 km. Therefore, during the years of Soviet power, several schools were built on the territory of the united village councils. Years passed, young people from the village left for the city. There are few children left, and only 3 schools remain (Radubezhskaya secondary school, Linetskaya secondary school, Nizhnezhdanovskaya secondary school). The villages of the former Nizhnezhdanovsky s / s are the most remote from the regional center. The former leadership of the Fatezhsky district, which owned the Nizhnezhdanovsky and Linetsky s / s, set the task of reviving the villages. For this purpose, a village was built, gas was supplied, in 2007 (now s / s belonged to the Zheleznogorsk district) a new school was built. Everything in it meets modern requirements. There is a computer class, a workshop, a gym, a dining room are equipped. With the help of children and teachers at the school, a museum of military and labor glory of our fellow villagers was opened, a gallery of the Immortal Regiment was created. Children help take care of the monument to the fallen fellow villagers and know for sure that no one is forgotten and nothing is forgotten. Some graduates remained to serve in the Army on a contract basis, and are currently participating in a military special operation in the Donbass. And everything seemed to work out, young families with children settled in the village. But two schools of the Linetsky s / s were closed (Radubezhskaya secondary school and Linetskaya secondary school). A bus was allocated and children from these schools were taken to the new Nizhnezhdanovsk secondary school. In the 2022-2023 academic year, 51 children of the Linetsky s / s, out of 8 first-graders, should study here. And suddenly the Head of the Administration of the Zheleznogorsk region, Frolkov A.D. makes a decision on the reorganization of the school, referring to the instruction of the Education Committee of the Kursk region, where, allegedly, a decision was made to liquidate 5 schools of the Zheleznogorsk district. They want to expel the children, but where is the new building? Sell? Young families with children are outraged, many of them came to the village of Verkhnee Zhdanovo only because there is a school here. How is it possible to close all the schools of the united village councils and the theme is to cross out everything that has been done under the program for the revival of the village. Is our country really so poor that it cannot afford the maintenance of even one school in the territory of the united village councils. So the revival of the villages for the Linetsky s / s has ended, no school means no future. And in the village of Verkhnee Zhdanovo, the House of Culture, a kindergarten, and a post office have already been closed. Probably, the management wants to close the school in order to finally destroy the village. We, the residents of the Linetsky village council, appeal to you with a request: do not let our villages be destroyed, help defend our school.",7,Another
"I would like that you, together with the Russian Railways, made a lane to the op 585 km from the street. Berezovaya. It’s impossible to just go to the bus stop, you have to climb through the maple and other plants, cut at least the maple so that people can walk normally, you understand, if you go around through the fire train, then in general the path will take 15-20 minutes, and if you go straight, then 7 minutes maximum, I hope that you will help us and make a safe lane. I also want to note the excessive number of stray dogs that live near the fire train and near the guard post, it is simply impossible to get through, I hope that you will send a letter to the Russian Railways so that they catch these dogs or put them in an aviary.",3,Another
"I ask you to construct a new modern building for the Sugrovsky school. This building is in NOT satisfactory condition, there is no gym, etc. I ask you to build a new school building by 2024 according to the “Modern School” regional project of the “Education” national project. Please do not send unsubscribes, I also ask you to take into account the new location, there is a large area where the school could be located. The school should be at least with a reserve of 100 people, suddenly the population will grow, which is unlikely, but suddenly.",7,Another
"After the repair of the road, all the entrances along Uritsky Street were broken. The places of asphalt samples are not sealed, which will lead to further destruction of the canvas!",3,Another
"packs of dogs, because it is impossible to pass by, near the hotel and the old market, In the market where the wholesalers huge dogs jump out unexpectedly. and school number 2 and st. Gas Lane, on the territory of PMK-3, near FOKOT, at school No. 3, there are just darkness of dogs. Walking is scary. And some have to let the child go there for training. Just because they're spayed doesn't mean they won't bite! In the iceberg area Kirov st. Cossack children do not go to school rush",1,Another
"I ask you to install the boxes at the public transport stop Kt Rodina in the center, as there are no boxes, but according to the law they should be.",3,Another
"There are a lot of dogs at the intersection of Magistralnaya and Stroitelnaya streets near the children's equestrian sports school - a whole pack. Dogs began to attack passing people, to frighten children. Take action against those who feed and breed dogs irresponsibly. Instead of sterilizing and placing in good hands. We often get that until trouble happens, no one cares, but I think that it is not worth waiting for an attack on a child. Please take action!!",1,Another
"Previously, the appeal “PIT AND POTCHES ON INTERNAL ROADWAYS AND SIDEWAYS IN THE REGIONS OF APARTMENT BUILDINGS THE DECISION IS CONFIRMED” was considered, in which the answer was given that the pit would be filled in as soon as possible .. It took a little more than a month, but the pit remained unburied! Published: 21 Jun 2021 14:59 Deadline: 21 Jul 2021 14:59 Closed: 23 Jun 2021 10:35 Message No.: 73286“Responsible Administration of the Kurchatovsky DistrictHello, in response to your request, the administration of the village named after K. Liebknecht informs that according to the information of the State Unitary Enterprise “Kurskoblzhilkomkhoz” at the specified address, work was carried out on the heating system and in connection with which the soil was opened. At present, these works have been completed; work to bring the land plot into the required sanitary condition will be carried out as soon as possible. However, in 2021, it is planned to carry out 3 stages of work to modernize the heating network of the village, which will be held along the street. Mira and st. October.23 Jun 2021 10:34”",11,Another
"During the reconstruction of K. Marx Street, six holes were dug, about 1.5 meters deep. All of them are not fenced, not marked with a warning tape and are located in an open area. Nearby is a playground in Aseev Square, a pedestrian crossing, a branch of Sberbank. They are a danger to anyone who passes by.",11,Another
