id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Subject
1635,"Good afternoon. Please help us solve our problem! In the courtyard of the house Orlovskaya 12 and the house Orlovskaya 16, for many years there has been a pit, which is constantly filled with water. It is impossible to drive a car, let alone walk.","<p>Добрый день. Прошу помощи в решении нашей проблемы! Во дворе дома Орловская 12 и дома Орловская 16, на протяжении многих лет находится яма, которая постоянно находится с водой. Проехать на машине невозможно, тем более пройти пешком.</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет городского хозяйства города Курска,0,Violation of the road surface (pits) on the roads within the boundaries of urban districts and rural settlements
469,"In the center of the city, and architectural forms crumble before our eyes. Judging by the huge cracks, major repairs are needed.","<p>В центре города, а архитектурные формы рассыпаются на глазах. Судя по огромным трещинам - необходим капитальный ремонт.</p>",Несвоевременный (некачественный) текущий ремонт многоквартирного дома,Государственная жилищная инспекция Курской области,3,Untimely (poor-quality) maintenance of an apartment building
304,Old garages next to star 11a. Bottles of rubbish are thrown around them.,<p>Старые гаражи рядом с звездной 11а. Вокруг них закидано мусором бутылками.</p>,Неудовлетворительная уборка улиц и тротуаров,Администрация города Курска,3,Poor cleaning of streets and sidewalks
630,Road,<p>Дорога&nbsp;</p>,Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Violation of the road surface (pits) on the roads within the boundaries of urban districts and rural settlements
849,"Good afternoon. Today, 08/17/2021, an accident involving a pedestrian occurred in front of my house. Not so long ago, the park was landscaped and the exit from this very park to the road was laid out of paving slabs. Unfortunately, the crossing from this exit was not secured by a pedestrian crossing. For many years, this section of the road has been the shortest way to get through the carriageway to the private sector of buildings and is very popular among the elderly and schoolchildren. The crossing with a traffic light, which was installed not far from this place, did not improve the situation, and people both crossed the road lower towards APZ-20 and still do it. I ask you to consider the option of installing a “Pedestrian crossing” sign and applying appropriate markings on this section in order to prevent possible accidents involving pedestrians, as well as to regulate the speed limit of vehicles that repeatedly exceed the speed limit on this section of the road at night, thereby exposing citizens to additional danger. Thank you for your assistance. Novel","<p>Добрый день. Сегодня 17.08.2021 напротив моего дома произошло ДТП с участием пешехода. Не так давно проводилось благоустройство парка и был выложен из тротуарной плитки выход из этого самого парка к дороге. К сожалению, переход через проезжую часть от этого выхода не был обезопасен пешеходным переходом. Данный участок дороги уже на протяжении многих лет является наиболее кротчайшим способом попасть через проезжую часть в частный сектор построек и пользуется большой популярностью у граждан престарелого возраста и школьников. Переход со светофором, который был установлен недалеко от этого места не исправил ситуацию и люди как переходили дорогу ниже по направлению к АПЗ-20, так и переходят. Прошу Вас рассмотреть вариант установки знака “Пешеходный переход” и нанесение соответствующей разметки на данном участке с целью предотвращения возможных несчастных случаев с участием пешеходов, а также для урегулирования скоростного режима транспортных средств, которые многократно превышают скоростной лимит на данном участке дороги в ночное время суток, тем самым подвергая дополнительной опасности граждан. Благодарю за содействие. Роман</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Pedestrian crossings on roads within the boundaries of urban districts and rural settlements
1240,"On Razin Street from the 9th house, the sidewalk is almost completely absent. Adults and children have to walk on the carriageway, which is not safe., Since it’s impossible to walk along the pavement at all, you can be left without legs. The street goes downhill, which leads to constant problems especially in winter. I really hope for your solution! Ulichkom","<p>На улице Разина от 9 дома практически полностью отсутствует тратуар. Приходится взрослым и детям &nbsp;ходить по проезжей части дороги, что не безопасно., так как по тратуар вообще не реально пройти-можно остаться без ног,. Улица идёт под гору, что приводит к постоянным проблемам особенно в зимний период. Очень надеюсь на ваше решение проблемы! Уличком</p>",Необходимо строительство тротуара,Комитет дорожного хозяйства города Курска,3,Pavement needs to be built
1381,"There is no road lighting from the beginning of Pobedy Avenue, including in the area of ​​the pedestrian crossing from the Meteorological Station stop from the side of Tamchishina Street along the Walk of Fame, which creates a danger of an emergency.","<p>Отсутствует освещение дороги&nbsp;</p><p>от начала проспекта Победы, в том числе, в районе пешеходного перехода от остановки Метеостанции со стороны улицы Тамчишина вдоль Аллеи Славы, что создает опасность аварийной ситуации.</p>",Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3,Non-working outdoor lighting
2295,Please put me and my family on the waiting list for financial assistance,Прошу включить меня и мою семью в очередь на получение материальной помощи,Социальные льготы,Администрация города Курска,6,Social benefits
1650,"Hello. Since in the previously written message No.: 126712, the described problem was not solved in time, I would like to remind you of it again. In the message No. to restore proper sanitary order at the specified address. I would like to ask the administration to re-send a notification to HOA 102, with a reminder of the need to restore sanitary order, since garbage and dry leaves continue to lie in this area) I also want to ask you to finally remove the dry a stump that has been lying for two years after uprooting.","<p>Здравствуйте.Так как в ранее написанном сообщении <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>№:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`>126712, не была вовремя решена описанная проблема,хотелось бы напомнить о ней снова.В сообщении №126712 было написано,что Администрацией ЦО,было направленно </span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>уведомление в адрес ТСЖ № 102&nbsp;о необходимости проведения работ по наведению должного санитарного порядка по указанному адресу.Хотелось бы попросить администрацию,чтобы она повторно направила уведоление ТСЖ 102,с напоминанием о необходимости наведения санитарного порядка,так как на данном участке мусор и сухая листва продолжают лежать)Так же хочется попросить убрать наконец-то сухой пень который лежит уже года два после выкорчевывания.</span></p>",Неудовлетворительное содержание клумб и газонов,Администрация Центрального округа города Курска,3,Unsatisfactory maintenance of flower beds and lawns
502,"Good afternoon! Please understand the situation that arose in the house on the street. Orlovskoy 1, entrance 5. On the evening of June 14, 2021, the cold water supply was turned off due to a break in one of the apartments. Today, June 16, 2021, hot water is scheduled to be turned off throughout the northwestern microdistrict. As a result, the apartment has neither cold nor hot water. The management company Zhilkompleks Druzhba does not solve the situation. There is not a drop of water in the apartment, what should residents and minor children living in this entrance do?","<p>Добрый день! Просьба разобраться в ситуации, возникшей в доме по ул. Орловской 1, подъезд 5. Вечером 14 июня 2021 была отключена подача холодной воды с связи с прорывом в одной из квартир. Сегодня, 16 июня 2021 планово отключена горячая вода по всему северо-западному микрорайону. По итогу, в квартире нет ни холодной, ни горячей воды. Управляющая компания Жилкомплекс &nbsp;Дружба ситуацию не решает. &nbsp;В квартире нет ни капли воды, что делать жильцам и несовершеннолетним детям, проживающим в данном подъезде?</p>",Некачественное водоснабжение многоквартирного дома,Администрация города Курска,3,Poor water supply in an apartment building
2353,Clogged storm sewer.,Засореная ливневая канализация.,Ливневая канализация,Администрация города Курска,3,Storm sewer
2182,"We are constantly cleaning the territory between the extreme houses on Anatoly Deriglazov Avenue and SNT ""Festivalnoe"", but ""things are still there"", according to information from summer residents, the land plot on which the dump 24 by 7 was sold by the chairman of the SNT and this unauthorized landfill has owners . Who is to blame and what to do? We have an apartment on Deriglazova Street and a summer cottage in SNT ""Festivalnoe"", this situation has already bothered me, where are the tanks of SNT? Unclear! 1 or 2 tanks for such a huge SNT is a shame, but not a reason to spoil.","Постоянно убираем территорию между крайними домами на проспекте Анатолия Дериглазова и СНТ «Фестивальное», но «воз и ныне там», по информации от дачников земельный участок, на котором помойка 24 на 7, продан председателем СНТ и у этого несанкционированного полигона с отходами есть хозяева. Кто виноват и что делать? У нас и квартира на Дериглазова и дачный участок в СНТ «Фестивальное», эта ситуация уже достала, где баки СНТ? Непонятно! 1 или 2 бака на такое огромное СНТ это позор, но не повод гадить.",Несанкционированные свалки твёрдых бытовых отходов,Комитет природных ресурсов Курской области,16,Unauthorized solid waste dumps
1086,"Opposite op 412 km (by rail) there are sawn branches, and a lot of garbage, I would like the owner of the infrastructure to put things in order near his place, and also cut all the wild plants to the end. You understand that some of the dry branches are left there, now our crazy youth can take and replenish, and next to the house, everything will burn there. Hope for understanding.","<p>Напротив оп 412 км (по жд) воляются спилинные ветки, и очень много мусора, хотелось бы что бы собственник инфраструктуры навёл порядок возле своего места, а также до конца выпилил все дикоростущие растения. Вы понимаете что часть сухих веток там воляются, сейчас наша безумная молодёж может взять и пополнить, а рядом дома, там погорит все.&nbsp;</p><p>Надеюсь на понимание.&nbsp;</p>",Нарушение правил пожарной безопасности в сфере природопользования,Администрация Курчатовского района,16,Violation of fire safety rules in the field of nature management
1540,"In the basement of the house at 41a Zapolnaya St., a sewer pipe broke through. Sewer drains are not removed, a large number of midges appeared. Our dentistry `Estedent` is located through the wall from the basement, all midges and unpleasant smells go to the medical facility!!! There are complaints from patients and dental staff!!! It is impossible to work in such conditions!!! February 10, 2022 An application for disinfestation in the basement was sent to the post office of UK Kursk LLC and to the dispatch service of the UK, with a request to solve this problem as soon as possible! As of February 16, 2022 the problem has not been solved, pest control has not been carried out, sewerage has not been removed, midges are flying safely in the basement in large numbers, we have personally seen this by visiting it and the medical facility! Every day we call the UK, there is no result, Couldn't get through today! In confirmation, I am attaching a photo of the window sill in the dentistry office and an application to UK Kursk LLC on behalf of the director of the clinic. due to the failure to fulfill the duties of the “UK Kursk”, we are in unsanitary conditions!","<p>В подвале дома <span style=`color:rgb(34,34,204);`>по адресу ул.Запольная, д.41а</span> произошел прорыв канализационной трубы. Канализационные стоки не удалены, появилось большое количество мошки. Наша стоматология `Эстедент` находится через стенку от подвального помещения, вся мошка и неприятный запах переходит в медицинское учреждение!!! Поступают жалобы от пациентов и сотрудников стоматологии!!! В таких условиях работать невозможно!!!</p><p>10 февраля 2022г. &nbsp;на почту &nbsp;ООО “УК Курска” и в диспетчерскую службу УК была оставлена заявка на проведение дезинсекции в подвальном помещении, с просьбой в кратчайшие сроки решить эту проблему!&nbsp;</p><p>На&nbsp; 16.02.2022г. проблема не решена, дезинсекция не проведена,канализационные стоки не удалены, мошки в огромном количестве &nbsp;благополучно летают в подвале, мы лично убедились в этом, посетив его, и &nbsp;медицинском учреждении! &nbsp;Каждый день звоним в ук, результата нет, сегодня дозвониться не удалось!&nbsp;В подтверждение прикрепляю фото подоконника в кабинете стоматологии и заявку в ООО “УК Курска” от лица директора клиники.</p><p>Убедительная просьба помочь с решением этой проблемы, т.к. из-за невыполнения обязанностей “УК &nbsp;Курска”, мы находимся в антисанитарийных условиях!</p><p><br data-cke-filler=`true`></p>",Длительное неисполнение заявок управляющей компанией,Государственная жилищная инспекция Курской области,3,Prolonged non-fulfillment of applications by the management company
1963,"Under the “year of roads” program, work was carried out during which the roadway was being repaired in the area of ​​the Belgorodskaya 20 house, the sign was removed upon completion, and the pins remained in the ground, I tore the bottom of the car while parking and hung on them, please cut or remove them as soon as possible","По программе «год дорог» проходили работы при которых проходил ремонт дорожного полотна в районе дома Белгородская 20, знак по завершению убрали, а штыри в земле остались, я паркуясь разодрал дно авто и повис на них, прошу срезать или извлечь их в кратчайшие сроки",Дорожные знаки на дорогах в микрорайонах ИЖС,Администрация города Курска,0,Road signs on roads in IZHS microdistricts
1190,"Hello! On st. Engels (to the left of the building of the Federal Tax Service for the city of Kursk) there is a damaged street lighting pole, please pay attention to this object and decide its future fate.","<p>Здравствуйте! На ул. Энгельса (слева от здания ИФНС по г. Курску) расположен поврежденный столб уличного освещения, прошу обратить внимание на этот объект и решить его дальнейшую судьбу.</p>",Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3,Non-working outdoor lighting
2714,"Good afternoon, in this area along Republicanskaya Street near the road on both sides of the road, the new Republican from the store, the flight to the store, Pyaterochka is overgrown with weeds, take measures to mow the grass. Thank you.",Добрый день на данной территории по улице республиканская около дороги с двух сторон от дороги новая республикаеская от магазина полет до магазина пятёрочка зарастает бурьяном примите меры по покосу травы. Спасибо.,Неудовлетворительное содержание клумб и газонов,Комитет дорожного хозяйства города Курска,3,Unsatisfactory maintenance of flower beds and lawns
1415,"I ask you to make a rate for the mask mode for minibuses Kursk-Tetkino-Kursk, Kursk-Belgorod-Kursk, etc. Rest Lgovsky turn. And look that your mask mode is not observed even by the attendants (driver). During the raid, please take pictures. Taking into account the fact that I recently went and there were 8 passengers in the minibus, taking into account the driver without masks, of course, you will not get 5-6 protocols, if something managed to put on a mask when you see you, you must also draw up a protocol. I hope for understanding, and for a photo report. In general, you need to conduct continuous video recording to confirm the violation.","<p>Прошу Вас сделать рейт по масочному режиму для маршруток Курск-Теткино-Курск, Курск-Белгород-Курск и т.д. Ост. Льговский поворот. И посмотрите что Ваш масочный режим не соблюдает даже обслуживающий персонал (водитель). В ходе рейда прошу делать фотки.&nbsp;</p><p>С учетом того что я недавно ехала и в маршрутке было 8 пассажиров с учетом водителя без масок, разумеется у Вас не получиться 5-6 протоколов, если что то успел надеть маску при виде Вас надо тоже составлять протокол. Надеюсь на понимание, и на фотоотчет.&nbsp;</p><p>А вообще Вам надо вести неприрывную видео-фиксацию дляпотверждения нарушения.&nbsp;</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Unsatisfactory sanitary condition of transport in the implementation of municipal (suburban) transportation
